Jurisdiction,Year,Category ,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total
Garrett County,2010,Total Female,755,830,919,1037,750,754,754,919,1005,1180,1191,1104,1025,847,612,502,391,337,14912
St. Mary's County,2015,Hispanic Female,298,344,286,201,182,194,270,173,135,143,147,88,58,55,33,31,10,6,2654
Harford County,2040,Total Non-Hispanic Black,3853,3872,4168,3869,2683,2688,3340,3672,3754,3688,3177,2792,2545,2457,2203,1453,978,666,51858
Anne Arundel County,2025,Non-Hisp Black Female,3450,3561,3531,3238,2881,3350,4124,4303,4291,3657,3478,3777,3634,2989,1951,1326,664,664,54869
Charles County,2030,Hispanic Male,735,643,594,648,559,567,487,473,439,404,326,305,272,176,116,84,17,25,6870
Montgomery County,2010,Non-Hisp Black Female,5627,5664,5930,5741,5436,6673,6905,7153,7342,7264,6534,5045,3851,2560,1886,1313,894,882,86700
Cecil County,2035,Non-Hisp Black Male,410,438,542,506,376,438,489,590,540,382,336,335,335,277,201,68,26,19,6308
Charles County,2030,Hispanic Female,674,638,619,628,625,641,516,553,521,386,385,323,182,167,107,58,39,27,7089
Prince George's County,2025,Non-Hisp White Female,2764,2383,2082,1590,3307,3535,4164,3787,2848,2557,2411,2864,3803,4275,3851,3061,2106,2340,53728
Worcester County,2040,Non-Hisp Other Male,115,99,77,59,42,35,114,83,67,56,52,40,54,26,19,26,8,15,987
Worcester County,2020,Hispanic Male,70,82,94,91,54,81,102,107,89,80,69,47,23,20,16,13,9,9,1056
State of Maryland,2010,Non-Hisp Other Female,21373,20425,18295,15103,14957,18981,19744,19991,18288,17550,15508,12758,10459,7144,5041,3368,2148,1669,242802
Charles County,2040,Non-Hisp Black Female,4105,4405,4946,4889,3476,3622,4022,4629,5306,5401,4292,3819,3781,4514,4401,3739,1424,1284,72055
Baltimore County,2025,Non-Hisp Black Female,9000,9159,9733,9416,9385,10928,11510,10428,9636,9192,9398,9678,9415,8318,6482,4520,2333,2615,151146
State of Maryland,2035,Non-Hisp Black Female,66344,66904,68709,65667,62623,70216,72852,75744,81387,76872,68902,62709,61941,63086,59836,47328,32200,35194,1138514
Frederick County,2015,Hispanic Male,1044,1071,1051,915,847,895,952,956,809,722,598,340,207,142,88,53,30,31,10751
Kent County,2025,Non-Hisp Other Male,26,22,21,39,37,9,10,8,14,15,9,10,7,9,9,2,1,0,248
Frederick County,2015,Total Hispanic,2091,2094,2035,1830,1634,1739,1836,1841,1581,1402,1160,747,438,323,181,123,82,69,21206
St. Mary's County,2015,Total Male,3881,4103,4129,3687,3108,3721,3755,3371,3327,3969,4670,3937,2734,2182,1577,997,532,445,54125
Allegany County,2010,Non-Hisp Black Male,45,59,55,115,180,86,62,57,60,64,54,59,43,31,13,12,8,6,1009
Harford County,2020,Non-Hisp White Female,4793,4559,4885,5027,5168,5783,5953,6028,5338,5768,7104,8399,7857,6532,5440,3759,2450,3306,98149
Caroline County,2030,Total Non-Hispanic White,1631,1579,1591,1527,1445,1532,1456,1588,1942,1789,1666,1773,1919,2013,1673,1179,760,536,27599
Charles County,2035,Hispanic Female,750,751,752,753,754,755,756,757,758,759,760,761,762,763,764,765,766,767,13653
Calvert County,2010,Total Female,2390,3161,3541,3340,2288,2174,2259,2746,3864,4518,3850,3063,2349,1668,1153,918,722,705,44709
Queen Anne's County,2010,Hispanic Female,97,62,72,41,56,51,68,49,46,50,28,19,9,6,8,6,3,0,671
Prince George's County,2035,Non-Hisp White Male,2327,2115,2188,2034,4679,3676,3154,3411,4399,3859,2730,2195,2002,2182,2745,2704,1927,1654,49981
St. Mary's County,2030,Non-Hisp Black Male,777,835,884,862,657,697,629,676,695,704,507,600,581,528,339,180,95,66,10312
St. Mary's County,2035,Total,10141,10260,10025,8671,7522,9356,9948,9673,10153,9777,9216,7610,6947,7166,7015,5161,3072,2707,144420
Kent County,2020,Total,771,896,1027,962,720,863,1007,911,925,964,1332,1678,1758,1726,1374,1114,606,682,19316
State of Maryland,2010,Hispanic Male,25881,20912,18202,18155,23270,27592,26374,21897,18007,14135,10183,6802,4403,2583,1615,1092,677,491,242271
Harford County,2020,Non-Hisp Other Male,585,627,924,861,488,395,426,450,448,468,450,402,334,227,167,60,55,20,7387
Anne Arundel County,2045,Hispanic Female,3256,3153,2989,2719,2524,2451,2611,2546,2255,1861,1739,1952,2005,1413,1111,787,487,251,36110
Allegany County,2040,Hispanic Female,51,34,31,34,36,36,39,57,52,54,41,18,19,19,11,7,7,17,563
Baltimore County,2010,Total,47978,47350,48980,49599,52815,53366,49366,49157,53062,59147,61183,53958,46303,31924,23688,20310,18234,17828,784248
Dorchester Co,2020,Hispanic Female,106,125,121,99,73,78,82,81,38,28,30,29,12,18,18,14,10,1,963
Charles County,2015,Total Male,4985,5142,5895,6118,4833,4351,4227,4079,4888,6007,6335,5323,3930,3031,2149,1254,714,455,73716
Anne Arundel County,2045,Non-Hisp White Male,9934,9394,9107,9058,8894,10430,10820,10138,9976,10647,11173,11384,10512,8166,7777,7572,6403,6642,168027
Dorchester Co,2040,Non-Hisp White Male,490,538,546,500,465,490,568,693,700,667,814,829,647,688,737,653,472,329,10826
Dorchester Co,2010,Total Hispanic,163,118,69,79,102,133,119,75,60,56,38,32,16,20,16,4,7,3,1110
Kent County,2025,Total Male,365,452,451,459,478,373,454,610,544,512,579,635,892,909,694,570,406,231,9614
Cecil County,2020,Total Non-Hispanic Black,541,467,559,574,583,645,513,440,488,475,573,567,458,232,162,81,39,41,7438
Baltimore City,2015,Total Hispanic,3460,2731,1923,1291,1772,3240,3919,3221,2270,1619,1204,832,565,365,231,117,40,45,28845
Caroline County,2045,Hispanic Female,332,308,289,269,224,166,185,137,192,58,51,41,21,15,12,10,4,20,2334
Prince George's County,2015,Total Hispanic,16552,13425,12671,10131,12818,15452,16726,15705,12193,9462,7073,4928,3234,1920,901,655,348,220,154414
Talbot County,2025,Total Male,939,986,1021,1082,911,807,808,1003,1040,904,1020,1173,1409,1480,1418,1239,832,662,18734
Worcester County,2020,Non-Hisp Other Male,41,43,139,80,84,45,45,41,40,38,39,49,51,22,19,13,4,8,801
Carroll County,2010,Non-Hisp Black Female,135,166,196,174,117,91,104,156,191,184,173,141,134,96,67,35,27,33,2220
Montgomery County,2010,Hispanic Female,7571,6498,6283,5934,6286,7291,7426,6888,6361,5840,4714,3376,2430,1732,1289,883,651,461,81914
Harford County,2020,Total Non-Hispanic White,9932,9497,10066,10390,10297,11457,11989,12084,10401,11184,13566,16120,15143,12277,10239,6705,4241,4913,190501
Howard County,2030,Total,21901,23502,24851,22722,18005,21191,24398,26498,23950,23463,21086,20387,20765,21244,17562,14137,10236,7586,363484
Allegany County,2040,Total Female,1518,1633,1739,1827,1913,1552,1942,2005,2046,2519,2000,2094,1806,2096,2016,2059,1602,1437,33804
Carroll County,2035,Total Hispanic,723,729,684,630,635,639,646,590,598,524,499,364,347,210,128,95,35,43,8119
Charles County,2030,Non-Hisp Other Male,911,730,685,531,654,617,604,540,453,354,364,354,372,334,279,199,130,26,8137
Anne Arundel County,2020,Total Non-Hispanic Black,6783,7005,7033,6247,5189,6227,7243,7794,6547,6278,6542,6690,5550,3964,2525,1492,911,850,94870
Queen Anne's County,2035,Non-Hisp White Female,1293,1424,1435,1156,842,987,1365,1569,1649,1682,1481,1199,1534,1883,1844,1657,980,1121,25101
Frederick County,2045,Total Non-Hispanic Black,3206,3056,3340,3079,2555,2512,2734,2852,3335,3367,3466,2538,2300,2036,1772,1507,1132,821,45608
Somerset County,2025,Total Female,679,590,497,1009,1098,628,734,520,573,654,660,680,848,815,671,488,293,243,11680
Calvert County,2045,Non-Hisp Other Male,199,227,249,231,119,111,105,190,209,187,141,131,103,76,88,80,42,14,2502
Calvert County,2030,Non-Hisp White Female,2007,2355,2335,1932,1426,1842,2555,2678,2504,2267,1816,2020,2628,3011,2491,1814,1249,1303,38233
St. Mary's County,2035,Non-Hisp Other Male,496,535,464,390,293,495,421,327,273,234,223,223,185,154,112,65,20,44,4954
Caroline County,2040,Hispanic Female,308,294,269,232,166,186,149,193,127,52,41,43,22,12,10,10,6,14,2134
Baltimore County,2030,Total,48159,49013,51390,50549,51209,52074,52057,54433,54838,52213,49251,48174,49699,50532,45497,34105,23573,22204,838970
Cecil County,2020,Non-Hisp White Female,2066,2174,2599,2545,2116,2479,2620,2403,2513,2825,3544,3810,3620,2881,2248,1518,917,920,43798
Frederick County,2030,Total Non-Hispanic White,12122,11777,10124,8637,8979,14595,15198,14275,11904,10747,9428,10840,13029,14800,12322,9529,7289,7173,202768
Worcester County,2030,Non-Hisp Other Female,128,149,163,184,48,60,50,39,41,60,73,66,59,68,66,29,17,6,1306
Wicomico County,2015,Non-Hisp Black Male,1045,910,1084,889,961,708,669,594,584,675,731,712,540,434,258,164,96,65,11119
Caroline County,2020,Total Male,989,1062,1361,1134,772,721,1027,1069,949,1007,1168,1287,1139,949,701,418,246,174,16173
State of Maryland,2015,Total Non-Hispanic Black,113633,116600,122911,118272,120716,122349,115914,111242,114821,123939,130653,116805,92853,71326,45515,29764,18598,17105,1703016
St. Mary's County,2020,Non-Hisp Black Female,577,610,633,612,537,652,572,583,519,569,657,674,581,358,237,141,88,120,8720
Howard County,2015,Non-Hisp Black Female,1842,2051,2369,2034,1526,1832,2455,2564,2459,2473,2407,1705,1332,1246,797,504,345,270,30211
Calvert County,2045,Hispanic Female,208,248,247,220,159,167,188,259,209,174,173,122,80,74,66,53,45,18,2710
Anne Arundel County,2035,Non-Hisp Other Male,2358,2237,1917,1761,1717,2510,2287,2028,1764,1572,1539,1477,1303,991,931,601,389,150,27532
Garrett County,2035,Total Non-Hispanic White,1399,1532,1587,1481,1334,1370,1599,1887,1768,1654,1867,1806,1981,2056,2021,1664,1072,915,28993
Howard County,2030,Total Non-Hispanic White,6637,7285,7816,6034,3930,6710,8981,10591,9027,8249,7198,7924,9584,11636,10756,9427,6940,5194,143919
Baltimore City,2020,Non-Hisp White Male,4988,2728,2017,1989,4683,12372,11997,8238,5779,4389,4358,4685,4489,3859,3058,1956,1046,894,83525
Howard County,2010,Total,17345,20553,22438,20254,14475,17437,17412,19563,22947,25980,23280,19074,15512,10709,6782,4755,3362,2885,284763
Cecil County,2040,Non-Hisp Other Female,368,389,405,347,235,219,321,348,357,242,171,164,140,52,40,32,17,5,3852
Talbot County,2020,Non-Hisp Other Female,33,23,88,57,56,50,24,40,33,25,49,24,19,6,5,7,7,5,551
Montgomery County,2045,Total Hispanic,24938,24542,23049,21294,19714,18806,19231,18919,19012,17378,17290,18296,18690,16413,13133,9907,6872,3917,311401
Montgomery County,2020,Total Hispanic,18005,17157,16789,16213,14942,15863,17452,18523,17685,15473,13196,11316,8537,5859,3806,2410,1477,1031,215734
Caroline County,2040,Total Non-Hispanic Black,456,448,514,430,359,326,344,374,299,366,420,421,417,387,446,366,278,170,6821
Calvert County,2045,Total Hispanic,428,475,459,415,306,295,341,398,380,305,291,227,131,115,94,84,56,52,4852
Queen Anne's County,2035,Hispanic Female,143,122,105,97,102,101,75,77,49,66,61,74,37,16,16,9,4,0,1154
Wicomico County,2035,Hispanic Female,435,364,311,289,314,378,252,200,233,247,251,193,73,52,44,29,7,18,3690
Worcester County,2035,Total Male,1401,1468,1661,1485,1340,1383,1393,1319,1421,1580,1704,1719,2111,2314,2284,1672,1099,1023,28377
Calvert County,2025,Total Male,2794,2791,2956,3065,2586,2850,3084,3198,2990,2458,2504,3341,3791,3088,2276,1608,934,667,46981
Wicomico County,2010,Non-Hisp Other Female,295,300,266,198,210,152,156,153,145,154,126,128,93,58,28,21,14,6,2503
Washington County,2030,Non-Hisp Other Female,594,539,412,306,643,607,498,409,296,325,279,255,207,183,134,63,7,20,5777
Dorchester Co,2035,Total Non-Hispanic White,949,1058,1079,1016,954,1047,1176,1121,1331,1434,1692,1389,1501,1637,1721,1421,850,743,22119
Baltimore County,2020,Non-Hisp Other Male,3058,3147,3676,3192,2780,2784,2688,2602,2629,2535,2087,1784,1582,1158,943,583,363,152,37743
Charles County,2030,Non-Hisp Black Male,3662,3979,4113,3947,2614,2706,3171,3411,3060,2587,2402,2950,3268,2774,1736,903,483,246,48012
Somerset County,2015,Total Non-Hispanic Black,390,424,461,599,915,278,266,325,297,321,425,405,314,265,196,111,105,86,6183
Carroll County,2030,Non-Hisp Black Male,205,172,126,96,122,175,251,232,248,214,181,345,364,296,243,101,55,32,3458
Calvert County,2020,Total Hispanic,289,383,475,440,268,235,215,234,230,200,252,247,91,76,72,44,17,35,3803
Baltimore City,2015,Hispanic Female,1699,1257,921,618,722,1376,1676,1375,905,625,485,393,284,209,112,61,26,17,12761
Dorchester Co,2045,Total Female,1172,1235,1259,1125,995,1079,1142,1306,1165,1044,1389,1397,1483,1171,1156,944,748,1018,20828
Somerset County,2015,Total Male,609,559,612,576,672,503,438,497,520,506,740,802,720,604,459,288,184,133,9422
Talbot County,2020,Non-Hisp Black Female,130,128,149,162,126,146,145,121,115,152,204,202,209,219,142,121,88,66,2625
Anne Arundel County,2030,Non-Hisp Other Male,2197,1832,1715,1711,2344,2171,1973,1740,1559,1503,1464,1319,1067,969,787,447,319,123,25240
Kent County,2010,Total,994,975,951,970,1099,935,821,881,1084,1379,1512,1409,1468,1405,872,726,635,555,18671
Caroline County,2010,Non-Hisp Black Female,164,175,177,162,161,125,139,126,169,192,204,171,132,88,76,65,45,48,2419
Queen Anne's County,2020,Non-Hisp Black Male,75,69,115,95,77,84,82,88,104,88,76,118,159,165,92,55,23,22,1587
Anne Arundel County,2025,Non-Hisp White Male,10067,9794,10026,9104,8339,10656,12229,12790,12048,10032,10803,12617,13876,12199,9543,7526,4451,3210,179310
Queen Anne's County,2030,Non-Hisp Black Male,97,81,90,81,108,82,84,91,124,141,102,104,105,181,204,144,40,25,1884
Charles County,2020,Total Male,5444,5448,5856,6155,5077,4983,4739,4525,4297,5091,6081,6231,5143,3572,2679,1744,905,569,78539
Allegany County,2045,Total Non-Hispanic Black,167,132,125,170,257,218,195,202,244,162,271,336,180,87,50,58,69,125,3048
Queen Anne's County,2010,Total Female,1353,1594,1629,1521,1059,1043,1093,1506,1975,2172,2077,1663,1565,1311,842,671,456,409,23939
Montgomery County,2025,Non-Hisp Black Male,7812,6858,7816,6631,6753,6541,7480,7812,7143,6210,5834,5322,4970,4007,2906,1817,969,699,97580
Montgomery County,2035,Hispanic Male,12117,11150,10166,9602,9503,9060,8983,8127,8416,9057,9785,8925,7635,5754,4065,2854,1313,755,137267
Prince George's County,2040,Non-Hisp Other Female,2330,2015,1905,1900,2226,2526,2568,2658,2642,2828,2719,2485,2482,1916,1420,1217,819,703,37359
Charles County,2045,Non-Hisp White Male,1093,1069,1108,1195,1168,1186,1219,1111,1209,1413,1448,1371,1368,1150,1168,1329,1208,1075,21888
Frederick County,2020,Non-Hisp Other Female,711,716,1122,1054,796,891,770,730,823,831,744,599,467,306,208,157,115,50,11090
Kent County,2030,Total Female,377,419,457,433,485,450,300,381,538,453,556,672,917,1148,1058,723,608,661,10636
Garrett County,2030,Total Hispanic,45,39,45,65,53,20,20,25,26,32,30,35,31,7,6,8,10,8,505
Worcester County,2040,Total Hispanic,213,224,200,163,122,152,178,183,139,112,175,159,146,123,100,69,31,43,2532
Somerset County,2030,Total Hispanic,141,136,113,92,91,65,39,52,83,60,46,19,9,5,2,0,2,4,959
Kent County,2045,Non-Hisp Black Female,49,45,50,45,44,46,51,47,55,54,86,134,88,138,99,114,104,255,1504
Garrett County,2025,Total Non-Hispanic White,1429,1452,1488,1566,1565,1582,1518,1564,1745,1656,1919,2128,2391,2273,1784,1384,879,660,28983
Anne Arundel County,2035,Hispanic Male,3079,2785,2517,2435,2522,2470,2071,1748,1773,2033,2351,1998,1469,1034,763,513,285,76,31922
Howard County,2025,Hispanic Male,1287,1206,1235,1383,1289,1248,1108,980,979,1054,832,773,563,363,197,130,44,11,14682
Charles County,2025,Hispanic Male,639,549,591,517,504,455,465,415,371,324,302,267,229,118,83,51,12,21,5913
Caroline County,2020,Non-Hisp White Female,616,682,814,806,579,660,804,851,822,840,947,1085,993,845,720,472,248,268,13052
Garrett County,2045,Hispanic Male,34,35,33,28,32,14,28,24,24,19,9,15,19,7,6,6,7,5,345
Harford County,2045,Total,17807,18340,18475,17577,15349,15980,16428,18123,18568,19109,18344,16621,15224,12607,12222,11298,10996,15687,288755
Dorchester Co,2010,Non-Hisp Other Male,84,52,45,31,19,24,23,23,23,27,25,21,17,13,10,9,1,0,447
Baltimore City,2025,Hispanic Male,1104,1304,1747,1498,1062,605,1013,1830,2214,1802,1329,940,616,252,160,77,13,7,17573
Carroll County,2020,Total Female,4023,4277,4894,5232,4236,4221,4721,4731,4138,5343,6815,7601,6504,5452,4614,3233,2067,2478,84580
Cecil County,2040,Total Hispanic,718,731,741,781,686,734,860,723,648,592,488,450,377,307,212,127,57,47,9279
Worcester County,2045,Non-Hisp Black Female,303,295,365,340,301,277,307,410,344,295,301,245,207,222,163,231,229,193,5028
Washington County,2015,Total Male,4122,4846,5110,4493,3524,3850,4042,4158,4463,5101,5560,5139,4316,3500,2486,1748,1195,1021,68674
Allegany County,2045,Hispanic Male,40,44,44,40,38,17,10,19,30,24,21,29,25,25,32,13,6,3,460
Wicomico County,2030,Total Non-Hispanic White,3565,3231,2814,2868,5887,4991,4170,4510,3937,3500,3785,3504,3753,4173,4089,3269,2351,2261,66658
Kent County,2025,Non-Hisp Black Male,55,54,54,62,59,53,89,84,125,98,108,87,117,119,82,43,38,31,1358
Dorchester Co,2015,Total Hispanic,231,205,120,101,114,145,175,137,77,80,49,39,23,20,26,13,4,5,1564
Dorchester Co,2015,Total Male,900,1025,981,873,715,807,884,833,905,1000,1222,1252,1067,941,725,446,319,235,15130
Caroline County,2020,Non-Hisp White Male,680,749,947,751,525,502,760,813,740,760,930,1053,957,778,562,357,217,157,12238
Dorchester Co,2025,Non-Hisp White Male,444,510,523,502,482,506,535,701,721,553,626,761,919,950,720,524,329,211,10517
Garrett County,2045,Total,1626,1708,1839,1787,1689,1448,1499,1760,1960,2069,1979,1883,2011,1792,1712,1546,1256,1187,30751
Baltimore City,2040,Total Female,19255,16481,16830,16438,21230,24833,22954,21686,19253,22918,23951,21258,16508,13473,12504,12279,9790,8538,320179
Baltimore County,2040,Total Hispanic,5475,5301,5090,5121,4923,5107,4826,4415,4031,4194,4598,4537,4008,3183,1961,1189,549,270,68778
Talbot County,2030,Non-Hisp Black Male,132,164,189,170,158,159,118,124,121,126,131,158,174,189,127,113,73,51,2477
Baltimore City,2040,Non-Hisp White Female,4908,3219,3185,2716,7308,11217,8113,8174,6266,7536,7418,5408,3665,2704,2289,2003,1702,1616,89447
Allegany County,2040,Non-Hisp Other Male,127,139,132,93,91,68,123,122,63,56,48,33,30,24,16,10,7,15,1197
Charles County,2020,Non-Hisp Black Male,2707,2884,3100,3364,2381,2255,2185,2076,2096,2707,3018,2750,1986,1174,784,463,231,121,36282
Cecil County,2030,Total Male,3919,3922,3478,3277,3906,3949,3658,3665,3635,3377,3299,3533,4076,3755,2809,1927,1193,1074,58452
Harford County,2020,Total Male,7477,7385,8307,8368,7245,7659,8026,7949,6907,7468,8443,9577,8770,6692,5442,3223,1955,1753,122646
Calvert County,2015,Total Female,2299,2851,3358,3158,2559,2369,2641,2438,2786,3854,4508,3763,2841,2162,1579,1039,731,861,45797
Calvert County,2035,Total Non-Hispanic White,3845,4591,4978,4249,2945,3173,4591,5589,5588,5193,4515,3505,3529,4655,5249,4048,2669,2618,75530
Queen Anne's County,2035,Total,3294,3530,3466,2899,2143,2478,3183,3638,3692,4032,3447,2966,3378,4037,4116,3499,1988,2057,57843
Wicomico County,2010,Total,6117,6130,6004,6670,8762,6154,5602,5478,5913,6820,6906,6180,5283,4015,2731,2280,1777,1508,94330
Cecil County,2040,Non-Hisp Other Male,380,359,372,291,207,183,322,310,258,178,149,130,96,106,52,16,13,5,3427
State of Maryland,2030,Non-Hisp White Female,72593,72675,71588,63665,65519,83131,86821,95510,95986,88529,78925,84549,98890,110564,101529,82924,62563,60635,1476596
Howard County,2010,Total Hispanic,1716,1594,1548,1392,1272,1489,1662,1482,1380,1057,723,503,322,215,126,90,61,49,16681
Prince George's County,2035,Non-Hisp White Female,2186,2050,2172,2012,3984,3029,2685,2925,3581,3309,2534,2260,2048,2308,2957,3107,2336,2581,48064
Carroll County,2040,Non-Hisp Other Female,445,462,445,379,200,193,371,427,360,309,242,209,193,277,220,112,92,86,5022
Prince George's County,2045,Hispanic Female,7209,6508,6364,6271,6370,5945,6493,5340,5801,4710,5370,6468,6816,5404,3372,2322,1098,430,92291
Allegany County,2030,Non-Hisp Black Male,46,52,55,80,120,135,89,159,213,107,73,82,73,40,16,27,11,9,1387
